Song,Artist,Link
welcome2paradise,Conquer Divide,https://open.spotify.com/track/6IVTlj3SmAI2ISpFt0y1xv
Dead Reckoning,Pop Evil,https://open.spotify.com/track/4X91JzJfMO32JiyRe62Alv
Handshake with Hell,Arch Enemy,https://open.spotify.com/track/4jPU94aF0U2PMNN0aBnhgX
Do Or Die,Elegant Weapons,https://open.spotify.com/track/4QCUR8rFIqwHO3qsDOmXhM
Reaching,The Devil Wears Prada,https://open.spotify.com/track/4T7Vu4pG8Iz4CRTyLRZMk6
Fence,Sevendust,https://open.spotify.com/track/6gQmCGUYq9Xql5rlShqUXj
Scourge of the Offspring,Cattle Decapitation,https://open.spotify.com/track/68xQkT5Ww6SZBzbQzreOju
Ultraviolet,As Everything Unfolds,https://open.spotify.com/track/4mB4OnvJp7Grfw5U8AQMz9
Monochrome,BABYMETAL,https://open.spotify.com/track/2Rw6wkd0q3LXx5xsdjLs1P
Return To Cold,Immortal,https://open.spotify.com/track/2ScZtDGnzFkBgu4fhRzmsS
Martyr,The Disaster Area,https://open.spotify.com/track/0mMLlzPBEIJPjBu0CHhsOU
A Crooked Melody,Holding Absence,https://open.spotify.com/track/57bIv3ROVypmo9bzJzUShI
Six Feet Under,Smash Into Pieces,https://open.spotify.com/track/5DYCuzBPf13q0QZwQvjYzi
Disappoint Me,Left to Suffer,https://open.spotify.com/track/4D5UuP96X7cXNzQ1YzqQiF
Parasite,Archetypes Collide,https://open.spotify.com/track/0sBXPxWJpMlQBnVF2y78Rg
Wasted Space,Kingdom Of Giants,https://open.spotify.com/track/2swqb0ij8Xpksi4A7tqE6i
Obsolete,Of Mice & Men,https://open.spotify.com/track/0FCY8j3JRrZ2ynRUdMK9pS
Dreamlike,Dead by April,https://open.spotify.com/track/2Q5SujJTPSQRKH5Yu2b4Ov
Jaded,Imminence,https://open.spotify.com/track/6syEBcinz3tRLPwM9Kdemo
Red Fur,Veil Of Maya,https://open.spotify.com/track/1jj922BgyJexH19yoHd23L
Spit,Poppy,https://open.spotify.com/track/35UePqF4pjXRtIsF7jLBFi
Heretic (feat. Loz Taylor),Bury Tomorrow,https://open.spotify.com/track/2mTi7e03FygOF0bds32848
The Dirt I'm Buried In,Avatar,https://open.spotify.com/track/4sg5Vfd2fM6Y8gMz5VYXz6
She is a Fire,Cradle Of Filth,https://open.spotify.com/track/4y1FN6vpHYUAaJVEOsgCHp
If I Could,Skindred,https://open.spotify.com/track/7MSGK0KByE9M66NOMup1AT
Ancestry,August Burns Red,https://open.spotify.com/track/3DNfmRFXFO65rHKWz3XyQD
God Knows,Knocked Loose,https://open.spotify.com/track/3idDCx8VXTkqPL6UQTK4bl
Between Death and Dreams,Brand of Sacrifice,https://open.spotify.com/track/1egxWnxYYPYB5y2KNVk6eH
New Messiah,Fear Factory,https://open.spotify.com/track/784D068nWk6mUvEXkufPnF
Waste Of Myself,Malevolence,https://open.spotify.com/track/05EAMJGwvxDcqcGxhT4t9R
State Of Unrest,Lamb of God,https://open.spotify.com/track/3u4djE2yAEkKMWJEUOOJyT
A.D.D,alt.,https://open.spotify.com/track/0UsnlmGAFHq4psggQczhjn
30 Under 13,Better Lovers,https://open.spotify.com/track/4f1ML3x043Sl0QdVeNB4yT
Bite The Hook,Incendiary,https://open.spotify.com/track/3aOCnkGig7Zz7oXCW2OqpM
Into the Abyss,Unearth,https://open.spotify.com/track/73fjFTOGycMPfGyWrIPXfg
Fall Of Man (feat. Matthew K. Heafy),Sophie Lloyd,https://open.spotify.com/track/2rCtd6DcWfIJIy7AFSlrdt
Silver Lining,Jesus Piece,https://open.spotify.com/track/4CBdaNfqAK3CNkGtf1I6dE
